%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1610713935124130032,77,1610713935123870499,crazyflie/base_link,-0.00565302325412631,-0.008694637566804886,0.00011890960740856826,-0.004151311703026295,0.0027675412129610777,-0.0,0.9999875426292419
1610713935132732666,78,1610713935132503884,crazyflie/base_link,-0.00571875274181366,-0.008695430122315884,0.0001144545094575733,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912
1610713935147626007,79,1610713935147325028,crazyflie/base_link,-0.005636757705360651,-0.008313488215208054,0.0004075276374351233,-0.005535082425922155,0.0027675412129610777,-0.0,0.9999808073043823
1610713935154865137,80,1610713935153987769,crazyflie/base_link,-0.0055370270274579525,-0.00797800999134779,0.0002633871336001903,-0.006918853148818016,0.0027675412129610777,0.0,0.9999722242355347
1610713935163156057,81,1610713935162899478,crazyflie/base_link,-0.00530401524156332,-0.007663322612643242,0.00011270678805885836,-0.00830262340605259,0.004151311703026295,0.0013837706064805388,0.999955952167511
1610713935173210085,82,1610713935173057833,crazyflie/base_link,-0.005022219382226467,-0.007610715460032225,0.00026400777278468013,-0.00830262340605259,0.005535082425922155,0.0027675412129610777,0.9999463558197021
1610713935186285951,83,1610713935186042643,crazyflie/base_link,-0.004713058937340975,-0.007488958537578583,5.437743675429374e-05,-0.00830262340605259,0.006918853148818016,0.004151311703026295,0.9999329447746277
1610713935204718191,84,1610713935204551650,crazyflie/base_link,-0.004212067928165197,-0.007528853602707386,-5.1871487812604755e-05,-0.006918853148818016,0.00830262340605259,0.004151311703026295,0.9999329447746277
1610713935213653027,85,1610713935213448085,crazyflie/base_link,-0.004016165621578693,-0.00775179686024785,-0.00016544728714507073,-0.005535082425922155,0.009686394594609737,0.005535082425922155,0.9999224543571472
1610713935224494986,86,1610713935224323052,crazyflie/base_link,-0.0040069930255413055,-0.008217403665184975,-0.0004711112123914063,-0.0027675412129610777,0.00830262340605259,0.006918853148818016,0.9999377727508545
1610713935232753471,87,1610713935232547047,crazyflie/base_link,-0.004018202889710665,-0.008165017701685429,-0.0003164402151014656,-0.0027675412129610777,0.00830262340605259,0.006918853148818016,0.9999377727508545
1610713935245489657,88,1610713935245182129,crazyflie/base_link,-0.004010431934148073,-0.007435926701873541,0.005596150644123554,-0.006918853148818016,0.006918853148818016,0.0027675412129610777,0.999948263168335
1610713935254126453,89,1610713935253691638,crazyflie/base_link,-0.0044231051579117775,-0.00659788865596056,0.0051594143733382225,-0.012453935109078884,0.004151311703026295,-0.004151311703026295,0.9999052286148071
1610713935264635517,90,1610713935264358218,crazyflie/base_link,-0.005229948088526726,-0.005691273137927055,0.003115651896223426,-0.017989017069339752,0.0,-0.009686394594609737,0.9997912645339966
1610713935273101859,91,1610713935272858418,crazyflie/base_link,-0.0022228506859391928,-0.005679898429661989,0.01348827127367258,-0.019372789189219475,0.004151311703026295,0.013837706297636032,0.9997079372406006
1610713935284110092,92,1610713935283849216,crazyflie/base_link,0.005007748957723379,-0.007292808033525944,-0.005653162952512503,-0.01660524681210518,0.017989017069339752,0.08025868982076645,0.9964733719825745
1610713935292473848,93,1610713935292219647,crazyflie/base_link,0.007059969007968903,-0.005888698156923056,-0.0003561745979823172,-0.019372789189219475,0.019372789189219475,0.06780476123094559,0.9973223805427551
1610713935304658000,94,1610713935304446526,crazyflie/base_link,0.009267223067581654,-0.0035804924555122852,-0.005221146158874035,-0.024907870218157768,0.020756559446454048,0.04704819992184639,0.9983662962913513
1610713935314006728,95,1610713935313657749,crazyflie/base_link,0.010863753035664558,-0.0021868101321160793,-0.001767768175341189,-0.02629164233803749,0.019372789189219475,0.023524099960923195,0.9991896748542786
1610713935324806455,96,1610713935324505146,crazyflie/base_link,0.01192830316722393,0.0003408077172935009,-0.017327891662716866,-0.031826723366975784,0.017989017069339752,-0.02214032970368862,0.9990862011909485
1610713935335133461,97,1610713935334900640,crazyflie/base_link,0.013673081062734127,0.0022362275049090385,-0.025237660855054855,-0.03044295310974121,0.01660524681210518,-0.029059182852506638,0.9989759922027588
1610713935343876865,98,1610713935343638395,crazyflie/base_link,0.01654951460659504,0.004705845844000578,-0.019524574279785156,-0.031826723366975784,0.013837706297636032,-0.06642098724842072,0.9971879720687866
1610713935363380846,99,1610713935363200127,crazyflie/base_link,0.020404785871505737,0.013799980282783508,-0.05577029660344124,-0.035978034138679504,0.01660524681210518,-0.0,0.9992145895957947
1610713935371767743,100,1610713935371613490,crazyflie/base_link,0.021161209791898727,0.020677335560321808,-0.06984829157590866,-0.03321049362421036,0.019372789189219475,0.10378279536962509,0.9938565492630005
1610713935386581157,101,1610713935386439887,crazyflie/base_link,0.028666747733950615,0.027317475527524948,-0.047303300350904465,-0.03321049362421036,0.013837706297636032,0.07333984225988388,0.9966578483581543
1610713935406698971,102,1610713935406537225,crazyflie/base_link,0.03527190908789635,0.03672584146261215,-0.050687275826931,-0.024907870218157768,0.0013837706064805388,0.08025868982076645,0.9964618682861328
1610713935413711387,103,1610713935413547157,crazyflie/base_link,0.03831165283918381,0.04037663713097572,-0.0585700161755085,-0.02214032970368862,-0.004151311703026295,0.07057230174541473,0.9972522854804993
1610713935425958242,104,1610713935425772860,crazyflie/base_link,0.04605301469564438,0.042226728051900864,-0.03982635959982872,-0.012453935109078884,-0.017989017069339752,0.013837706297636032,0.999664843082428
1610713935432728910,105,1610713935432550256,crazyflie/base_link,0.04970719292759895,0.043992310762405396,-0.03773747384548187,-0.005535082425922155,-0.027675412595272064,-0.005535082425922155,0.9995863437652588
1610713935443194977,106,1610713935442933044,crazyflie/base_link,0.05770432576537132,0.043694790452718735,-0.01805206388235092,0.005535082425922155,-0.040129344910383224,-0.058118365705013275,0.997487485408783
1610713935453796737,107,1610713935453478302,crazyflie/base_link,0.060104407370090485,0.03879426792263985,-0.018565651029348373,0.01660524681210518,-0.05119951069355011,-0.09409639984369278,0.9941070079803467
1610713935464443984,108,1610713935464302701,crazyflie/base_link,0.05269377678632736,0.03009084425866604,-0.0343591570854187,0.027675412595272064,-0.07057230174541473,-0.11208542436361313,0.9908029437065125
